Altium Designer Pick and Place Locations
E:\Saif-Personal-Data\Altium Projects\Altium_Design_Challenge\Altium_Design_Challenge\Project Outputs for Altium_Design_Challenge\Pick Place\Pick Place for AA-Design-Challenge_Muhammad.txt

========================================================================================================================
File Design Information:

Date:       22/01/24
Time:       22:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer    Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                         
R42        0R                                   TopLayer R_0603                   1670.000      2450.000      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 0ohm, Surface Mount, 0603"                           
R41        0.1                                  TopLayer RESC2012X65USR           3520.000      170.000       0        "RES 0.1 OHM 1% 1/8W 0805"                                                                          
MH4        MH_1.5mm                             TopLayer MH_2mm                   3809.055      127.953       0        ""                                                                                                  
R40        0.1                                  TopLayer RESC2012X65USR           3700.000      2430.000      0        "RES 0.1 OHM 1% 1/8W 0805"                                                                          
Y1         QT325G-25.000MAHE-T                  TopLayer XTAL_3225                2150.000      2480.000      180      "CRYSTAL 25.0000MHZ 12PF SMD"                                                                       
X1         32.768kHz                            TopLayer XTAL_3215                2830.000      2470.000      315      "CRYSTAL 32.7680KHZ 9PF SMD"                                                                        
U7         LM5176QPWPRQ1                        TopLayer IC_LM5176QPWPRQ1         1055.748      549.606       90       "55-V wide VIN synchronous 4-switch buck-boost controller, AEC-Q100 qualified 28-HTSSOP -40 to 125" 
U6         ESDS312DBVR                          TopLayer SOT23-5                  1770.000      2222.520      90       "FAMILY OF UNI-DIRECTIONAL SURGE"                                                                   
U5         ESDS312DBVR                          TopLayer SOT23-5                  1770.000      1980.000      90       "FAMILY OF UNI-DIRECTIONAL SURGE"                                                                   
U4         AP62301Z6-7                          TopLayer SOT563                   2801.890      395.748       180      "DCDC CONV HV BUCK SOT563 T&R 3K"                                                                   
U3         LMT86LPM                             TopLayer LP3_TEX                  3814.252      1400.394      90       "SENSOR ANALOG -50C-150C TO92-3"                                                                    
U2         MP2307DN-LF-Z                        TopLayer SOIC127P600X175-9N       3070.000      1210.000      0        "IC REG BUCK ADJUSTABLE 3A 8SOIC"                                                                   
U1         PIC18F97J60T-I/PT                    TopLayer QFP40P1400X1400X120-100N 2630.000      2070.000      135      "IC MCU 8BIT 128KB FLASH 100TQFP (12x12)"                                                           
TP3        tp0603                               TopLayer TP_1mm                   3244.252      820.394       90       ""                                                                                                  
TP2        tp0603                               TopLayer TP_1mm                   2340.000      1650.000      90       ""                                                                                                  
TP1        tp0603                               TopLayer TP_1mm                   2410.000      1590.000      90       ""                                                                                                  
T1         ""                                   TopLayer HX1198FNLT_PUL           1280.000      2092.520      180      "Transformer, 350 uH, SMT"                                                                          
SW1        B3U-1100P                            TopLayer SW_B3U-1100P             3467.480      2512.480      180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                  
R39        100R                                 TopLayer R0603                    1519.606      854.252       180      "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/∞C Molded SMD Paper T/R"                              
R38        100R                                 TopLayer R0603                    1519.606      934.252       180      "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/∞C Molded SMD Paper T/R"                              
R37        23.7kR                               TopLayer RESC0603X26N             945.748       309.606       90       "Res General Purpose Thick Film 0201 23.7k Ohm 1% 1/20W ±200ppm/∞C Molded SMD Paper T/R"            
R36        93.1kR                               TopLayer R0603                    885.748       279.606       90       "Res Thick Film 0603 93.1K Ohm 1% 1/10W ±100ppm/∞C Molded SMD SMD Paper T/R"                        
